2020-01-26 12:17:01,986 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2020-01-26 12:18:31,644 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 12:18:31 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 12:18:32,177 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/broker2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 12:18:32,190 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:18:32,198 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:18:42,205 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:18:52,211 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:19:02,218 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 12:19:12,395 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 12:19:12,408 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 12:19:12,408 | INFO  | Recovery replayed 1 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 12:19:12,553 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63804-1580021352423-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:19:12,566 | INFO  | Listening for connections at: tcp://localhost:61616?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-26 12:19:12,566 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-26 12:19:12,567 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63804-1580021352423-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:19:12,567 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-26 12:19:12,949 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 12:19:13,050 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 12:19:13,100 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-01-26 12:22:13,808 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63804-1580021352423-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:22:14,889 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2020-01-26 12:22:14,895 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-1/broker2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2020-01-26 12:22:14,895 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:22:14,895 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:22:14,896 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:22:15,252 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63804-1580021352423-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:22:15,252 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63804-1580021352423-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:22:15,252 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 12:18:31 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2020-01-26 12:22:15,285 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2020-01-26 12:27:30,724 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 12:27:30 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
